4FGLName
4FGL J0222.4+6156e
4FGL J0240.5+6113
4FGL J0330.7+5845
4FGL J0340.4+5302
4FGL J0426.5+5434
4FGL J0500.3+4639e
4FGL J0540.3+2756e
4FGL J0609.0+2006
4FGL J0617.2+2234e
4FGL J0620.4+1445
4FGL J0634.2+0436e
4FGL J0639.4+0655e
4FGL J0709.1−1034
4FGL J0844.1−4330
4FGL J0850.8−4239
4FGL J0904.7−4908c
4FGL J1008.1−5706c
4FGL J1018.9−5856
4FGL J1045.1−5940
4FGL J1351.6−6142
4FGL J1358.3−6026
4FGL J1405.1−6119
4FGL J1442.2−6005
4FGL J1447.4−5757
4FGL J1514.2−5909e
4FGL J1534.0−5232
4FGL J1547.5−5130
4FGL J1552.9−5607e
4FGL J1601.3−5224
4FGL J1608.8−4803
4FGL J1626.6−4251
4FGL J1633.0−4746e
4FGL J1742.8−2246
4FGL J1801.3−2326e
4FGL J1808.2−1055
4FGL J1812.2−0856
4FGL J1813.1−1737e
4FGL J1814.2−1012
4FGL J1839.4−0553
4FGL J1852.4+0037e
4FGL J1855.2+0456
4FGL J1855.9+0121e
4FGL J1857.7+0246e
4FGL J1906.9+0712
4FGL J1908.7+0812
4FGL J1911.0+0905
4FGL J1923.2+1408e
4FGL J1931.1+1656
4FGL J1934.3+1859
4FGL J2021.0+4031e
4FGL J2028.6+4110e
4FGL J2032.6+4053
4FGL J2038.4+4212
4FGL J2045.2+5026e
4FGL J2056.4+4351c
4FGL J2108.0+5155
